# CKS dispersion coefficients from Grimme's D3 model
# Grimme, S.; Antony, J.; Ehrlich, S.; Krieg, H. A consistent and accurate ab initio parametrization of density functional dispersion correctioin (DFT-D) for the 94 elements H-Pu
# J. Chem Phys. 2010 Apr 21;132(15):154104. doi: 10.1063/1.3382344.
1	1	0.9118	0.9118	3.0267
1	1	0	0.9118	4.7379
1	1	0	0	7.5916
5	1	0	0.9118	17.3143
5	1	0	0	28.2767
5	1	0.9706	0.9118	14.7237
5	1	0.9706	0	23.8412
5	1	1.9441	0.9118	12.4952
5	1	1.9441	0	20.0597
5	1	2.9128	0.9118	9.7472
5	1	2.9128	0	15.3531
5	1	4.5856	0.9118	9.2092
5	1	4.5856	0	14.4541
5	5	0	0	107.1777
5	5	0.9706	0	89.7429
5	5	0.9706	0.9706	75.3686
5	5	1.9441	0	74.9865
5	5	1.9441	0.9706	63.1685
5	5	1.9441	1.9441	53.1128
5	5	2.9128	0	56.4116
5	5	2.9128	0.9706	47.858
5	5	2.9128	1.9441	40.5192
5	5	2.9128	2.9128	31.4436
5	5	4.5856	0	52.9606
5	5	4.5856	0.9706	44.9888
5	5	4.5856	1.9441	38.1398
5	5	4.5856	2.9128	29.6804
5	5	4.5856	4.5856	28.0315
6	1	0	0.9118	12.1402
6	1	0	0	19.2653
6	1	0.9868	0.9118	11.3932
6	1	0.9868	0	18.0575
6	1	1.9985	0.9118	9.4203
6	1	1.9985	0	14.7623
6	1	2.9987	0.9118	8.821
6	1	2.9987	0	13.7992
6	1	3.9844	0.9118	7.3662
6	1	3.9844	0	11.3299
6	5	0	0	71.2794
6	5	0	0.9706	60.2996
6	5	0.9868	0	66.7986
6	5	0.9868	0.9706	56.5295
6	5	0	1.9441	50.909
6	5	0.9868	1.9441	47.7462
6	5	1.9985	0	54.0854
6	5	1.9985	0.9706	45.9632
6	5	1.9985	1.9441	38.9834
6	5	0	2.9128	39.2449
6	5	0.9868	2.9128	36.8166
6	5	1.9985	2.9128	30.3536
6	5	2.9987	0	50.5303
6	5	2.9987	0.9706	42.9646
6	5	2.9987	1.9441	36.4604
